seed,mse,equacao
415,112.58129352299966,3*X0 + 5*X1 + 2*log(X1) - tan(log(X1))
862,165.878518616936,3*X0 + 7.78034682080925*X1 + X1/(2*X0 + 5.78034682080925*X1)
813,77.95115729082225,3*X0 + 7.8740157480315*X1 + X1/cos(X1)
519,166.65206555530068,3*X0 + 8.26315789473684*X1
772,166.6854676019486,3*X0 + 7.55555555555556*X1
385,40.3067914574524,3.27790432801822*X0 + 5.55580865603645*X1 - 4.27790432801822*tan(tan(sin(X1)))
464,102.30492492886886,3*X0 + 7*X1 + sin(X1)/log(sin(X1))
382,171.83309400576394,3.46020761245675*X0 + 7.9204152249135*X1 + 0.578
69,185.11302387413627,3.42130750605327*X0 + 6.84261501210654*X1 + (0.734744707347447 - log(X1))*sin(X0**2)
92,171.51473218885693,3.45423143350605*X0 + 7.90846286701209*X1
323,166.46350831855904,3*X0 + 8.23560209424084*X1 + 0.328964914980172
447,165.419867,3*X0 + 8*X1
420,165.7320924311828,3*X0 + 8.13008130081301*X1
757,165.419867,3*X0 + 8*X1
272,166.26014668481895,3*X0 + 8*X1 + 0.988
872,186.1741676263621,4.04858299595142*X0 + 8.04858299595142*X1
402,71.29054895773983,3*X0 + 7*X1 + X1/cos(X1)
756,171.4440378802433,3.44827586206897*X0 + 7.89655172413793*X1
37,167.7806073009417,3*X0 + 8.40540540540541*X1 + 0.185
291,71.29054895773983,3*X0 + 7*X1 + X1/cos(X1)
412,45.70219837975037,3*X0 + 5*X1 - 3*sin(X1) + tan(2*X1 - sin(X1))
962,165.419867,3*X0 + 8*X1
511,165.419867,3*X0 + 8*X1
86,165.38601026656096,3*X0 + 7.98802395209581*X1
573,166.36390435514795,3*X0 + 7.60456273764258*X1 + 0.263
417,104.2462979215838,3*X0 + 5.90625*X1 + log(log(X1)) - tan(3.90625*X1) - tan(log(X1))
228,50.894079041664085,3*X0 + 2.89855072463768*X1*sin(log(X1)) + 4.89855072463768*X1 + X1/cos(X1) + sin(log(X1))
769,72.33765960077193,3*X0 + 6*X1 + X1/sin(sin(tan(cos(X1)))) - sin(X1) + cos(X1)
742,53.94462920838689,4*X0 + 5*X1 - sin(X1) - tan(sin(tan(sin(X1)))) - tan(tan(sin(X1))) - tan(tan(sin(tan(sin(X1)))))
815,165.419867,3*X0 + 8*X1
