seed,mse,equacao
399,41116.52136030717,0.894/sin(X3)
194,41092.734579054944,X2*(X2 + 3*X3) + X3
560,41114.50399423431,X2**2 + 3*X2*X3 + 2*X3
174,41677.337525888,3*X2*X3 - 3*X3*X4 - X3*log(log(X1 - 0.15))
595,42228.42942204468,(-X2 + sqrt(X4))*(-X2 - 3*X3 + sqrt(X1 - X3))
580,43431.16868120033,-3*X0*X4 - X1*(-X1 + X3) - X1*(-X3*X4 + X4) - X1 + 2*X2*X3 - 4*X3*X4
401,43684.25569964404,-2*X0*X4 + 2*X1**2 + X1*X3*X4 - X1 + 2*X2*X3 + X2 - 4*X3*X4 + X3*(-X1 + X2) + X3 + X4
197,41131.35306281088,X2*(-X1 + X2 + 3*X3)
814,42303.22162492995,(-X1 + 2*X2)*(X2 + 2*X3)
31,40892.1713701498,cos(X2*cos(cos(X3))/sin(X3))/sin(X3)
444,42593.51294666724,X1**2 - 4*X1 + X2*X3 + X2*(-X1 + X2) + X3*X4*(X1 - cos(X1**2 - X1 - X2*X3 + X2) - 2.874) + X3*(-X1 + X2) - 0.958
920,40433.89552354143,X2*X3
571,41257.6590295578,X3*(X2 - 2*X3*sin(X4) - 3*X4)
365,53954.29836011145,X0 - X3*sqrt(X4) - log(log(sqrt(X4)*log(log(X4**(1/4)*(X0*sqrt(X1) + X3*sqrt(X4) + log(log(log(sqrt(X4)*log(X0*sqrt(X1) + X0*sqrt(X4) + X0 + sqrt(X4)*tan(X1))*sin(log(sqrt(X4)))))))))*sin(log(sqrt(X4)))))
785,41713.01594530144,-3*X0*X4 + 2*X0 - 3*X3*X4
176,42309.535935590575,-2*X4 + (X2 - X4)*(X3 - 0.994) - 1.93528249929046*sqrt(0.534*X0 - X3*(X2 - X3 - X4 - 3.74531835205992*sin(X3)) - 0.267*X3 + 0.142578*X4/sin(X3))
887,41131.35306281088,X2*(-X1 + X2 + 3*X3)
422,41633.26435208563,2*X2*X3 + X3*(-X1 + X2) + X3 + (-X1 + X2)**2
750,40863.99826290741,sin(sin(sqrt(X1)))/sin(X3)
839,41292.55779573471,-1.18203309692671*X1 + 1.18203309692671*X3 + (-1.18203309692671*X1 + 2.18203309692671*X3)*(-X1 + X2)
180,41685.21606088143,-2*X1 + X3 + (X1 - X3)*(X1 - 2*X2 - (X1 - X2 - X3)*cos(X4))
421,35290.700549868525,X0*log(X4)*log(log(-2*X1 + X2**2 + X2*X3 + log(log(X1*X2*X3 - 3*X1 + X2**2 + X2*X3)))) - 3*X1 + X2**2 + 2*X2*X3 + X2*X4 + X2 + X3 + sqrt(X4)
807,42460.72501840099,-2*X0*X4 - X1*X2 - X1*(-X3*X4 + X3) + 2*X2*X3 - 3*X3*X4 - X3
707,40433.89552354143,X2*X3
807,42460.72501840099,-2*X0*X4 - X1*X2 - X1*(-X3*X4 + X3) + 2*X2*X3 - 3*X3*X4 - X3
983,41499.77770554674,-X1 + X4*(-2*X0 - X1 - 3*X3 + X4)
347,40638.89216229072,-X1 + X3*(X2 + log(-X1 + X2))
548,41845.5574982899,-X1 + X3*(-X1 + 3*X2 + X3 - 3*X4 + sin(sqrt(X0)))
165,40524.89968433361,X1**2 - 3*X1
968,40901.08006409384,-2*X1 + X2*X3 - 2*X2 + (-X1 + X2)*(-X1 + X3)
