seed,mse,equacao
626,5.432552634460917e-31,3*sin(X0 - X1) + 3*sin(X0 + X1)
917,3.1091217479592697,1.44366197059175*sqrt(sin(X0 + X1*sin(cos(X1) - cos(sin(sqrt(cos(X1*sin((sin(X0 + X1*sin(cos(X1) - 0.561931248711382))/cos(sin(sqrt(cos(cos(X1))))))**(1/4) - tan(cos(X1))))))))))/sin(cos(cos(X1)))
452,0.6340633101772092,tan(tan(sin(tan(sin(tan(sin(tan(sin(tan(sin(sin(sin(tan(tan(sin(sin(tan(sin(sin(sqrt(tan(sin(tan(sin(sin(tan(sin(sin(tan(sin(tan(sin(tan(sin(sin(tan(sin(sqrt(tan((sin(X0) + 0.071)*cos(X1)))))))))))))))))))))))))))))))))))))))))
931,0.0064056355192359,2.92025911742674*sin(X0 - X1) + 2.92025911742674*sin(X0 + X1)
698,0.108006084836781,sqrt(sin(X0)*cos(X1)) + 3*sin(X0)*cos(X1) - sin(X1) + sin(sqrt(sin(X0)*cos(X1))) + sin(X1 + sin(X0))
818,0.000283549794137,(2*sin(X0) + sin(sin(X0)) + sin(sin(sin(X0))) + sin(sin(tan(sin(X0)))) + tan(sin(X0)))*cos(X1)
614,0.5750356413029203,2*sin(X0 + X1) + sin(X1 + sin(-sin(sqrt(-sin(sin(sin(X0 + 0.433/X0))))) + sin(sin(X0 + 0.433/X0)) + sin(sin(X0 - sin(sin(X0 + X1))))) + sin(sin(X0 + 0.433/X0))) + sin(X1 - 0.658027355054484*sqrt(-1/X0) + sin(sin(sin(X0 + 0.433/X0)) + 0.433/X0) + sin(sin(X0 + 0.433/X0))) + sin(sin(X1 + sin(X0 + sin(sin(sin(sin(X0 + sin(X0 + 0.433/X0)))))) + 0.433/X0))
686,0.2617936038527056,(2*cos(X1) + cos(X1 - 0.240205109842265) + 2*cos(X1 - 0.133033737709683) + cos(X1 - sin(sin(X0)) + 0.634) + cos(cos(cos(X1 - 0.133033737709683) - 0.691301617235782)) + cos(cos(cos(cos(0.874205109842265*X1 + 0.554246039639996) + 2*cos(X1 - 0.133033737709683) + cos(1.50820510984226*log(1.64620510984226 - cos(X1 - 0.874205109842265*sin(1.06953088350195*sin(sin(X0))/sqrt(X1 + 0.634))))) - 2.00896876351194))) - 1.59973241718162)*sin(X0)
140,0.0208586063230228,sqrt(sin(X0 - X1)) + sin(X0 - X1) + sin(X0 + X1) + sin(sin(X0 - X1)) + sin(sin(X0 + X1)) + sin(tan(sin(X0 + X1)))
558,5.4343362935528995e-31,3*sin(X0 - X1) + 3*sin(X0 + X1)
304,0.1045030300422511,sin(X0 - X1) + sin(sin(X0 - X1)) + tan(sin(X0 - X1)) + tan(sqrt(sin(X0 + X1 - (9.0e-6*X1*(X0 + X1) - 0.003*X1)*tan(0.003*X1*(X1 + sqrt(sin(X0 + X1))))))) + tan(sqrt(sin(X0 - 0.003*X1*(X0 - X1) + 0.997*X1)))
426,0.001780536953121,3*sin(X0 - X1) + sin(X0 + X1) + sin(tan(sin(sin(sin(X0 + X1))))) + tan(sin(sin(X0 + X1)))
566,5.384147898325333e-31,3*sin(X0 - X1) + 3*sin(X0 + X1)
737,0.0337274088413199,sqrt(sin(X0 + X1) + sin(sin(sin(X0 - X1)))) + sin(X0 - X1) + sin(X0 + X1) + sin(tan(sin(X0 + X1))) + tan(sin(X0 - X1))
885,5.494777600663913,sin((-sin(sin(log(cos(sin(X0)))*cos(X1))) + sin(cos(X1)))/sin(sin(X0)))
635,0.0385167054004116,2.98153779195189*sin(X0 - X1) - 0.100949509687179*sin(sin(X0 + 0.0753030096964982))*cos(X1) + 3.9633162998157*sin(sin(sin(X0 + X1)))
667,0.0013927222228228,1.89184021231719e-5*sqrt(log(cos(sin(X0)*cos(sin(X0))))) - sqrt(log(cos(sin(sin(X0))*cos(sin(X0))**2*cos(sin(sqrt(X1)))))) + 2.99998108159788*sin(X0 - X1) + 2.99996216319575*sin(X0 + X1) - 1.89184021231719e-5*sin(2*sin(X0 - X1) + sin(X0 + X1) + 0.165205854843507) + 1.89184021231719e-5*cos(sqrt(sin(X0 + X1))) - 0.110578022758676 - 0.303422784420186*I
709,4.4414788567537125,tan(cos(sqrt(log(cos(sin(tan(log(log(cos(cos(cos(cos(X1) + tan(cos(X1)))))))*sqrt(cos(X1))) + tan(sin(X0))))))/cos(X1)**(1/8) - cos(X1)**(1/128) + tan(sin(X0))))
488,0.0010910954599134,2*sin(X0 - X1) + 3*sin(X0 + X1) + sin(tan(sin(X0 - X1)))
13,0.0926755941114229,(2*cos(X1) + cos(X1)/cos(cos(X0)) + tan(cos(X1)))*tan(sin(X0))
712,0.0079412868763357,3*sin(X0 - X1) + 2*sin(X0 + X1) + sin(sin(X0 + X1))
183,0.1761580121401556,-2*sqrt(-sin(X0 - X1)) + sin(X0 + X1 - cos(sin(X0) - cos(1))) + 2*sin(sin(X0 + X1 + 0.259)) - cos(cos(sin(X0 - X1) - 1)) + tan(sqrt(sin(cos(sin(sin(X0)) - cos(X1 + 0.259)))))
820,4.121420403983317,tan(sqrt(cos(X0 - sqrt(-sin(log(cos(sin(cos(X1)))) - 2*cos(X1))*cos(cos(X0 - sin(cos(X1))))) + sin(log(cos(cos(cos(sin(cos(X1)))))) - 2*cos(X1))*cos(cos(X0 - sin(cos(X1)))))))
383,0.0432241431635044,-sin(X0) + sin(X0 - X1) + sqrt(sin(X0 + X1)) + sin(sin(X0)) + tan(sin(sin(sin(tan(sin(sin(X0 + X1))))) + tan(sin(sin(tan(sin(sin(sin(X0 - X1))))))))) + tan(sin(sin(X0 - X1))) + tan(sin(sin(sin(X0 + X1))))
770,0.0082802316847832,(2*sin(X0) + sin(X0 + 0.037))*cos(X1) + sin(sin(X0 - X1)) + sin(sin(X0 + X1)) + tan(sin(sin(X0)*cos(X1)))
130,0.6699309394838546,(-sin(sin(cos(cos(sin(cos(sqrt(sin(X0))))) - 1) - tan(cos(sqrt(sin(X0))) + 1.24277682514013))) - tan(cos(sqrt(sin(X0))) + 1.24277682514013))*cos(1.66062329672794*sqrt(sin(X0)) - 1.66062329672794*cos(X1))
468,0.0013943222260855,3*sin(X0 - X1) + sin(sin(X0 + X1)) + sin(sin(sin(sin(X0 + X1)))) + tan(sin(X0 + X1))
760,5.409878917615071e-31,3*sin(X0 - X1) + 3*sin(X0 + X1)
96,4.5896291005466034,tan(tan(sin(tan(sin(sin(tan(sin(tan(sin(tan(sin(sin(tan(sin(tan(sin(sqrt(tan(sin(sin(X0 - X1)))))))))))))))))))))
801,4.65498870212576,tan(tan(sin(tan(sin(sin(tan(sin(tan(sqrt(sin(X0 - X1)))))))))))
80,1.4918386100743434e-31,6*sin(X0)*cos(X1)
383,0.0432241431635044,-sin(X0) + sin(X0 - X1) + sqrt(sin(X0 + X1)) + sin(sin(X0)) + tan(sin(sin(sin(tan(sin(sin(X0 + X1))))) + tan(sin(sin(tan(sin(sin(sin(X0 - X1))))))))) + tan(sin(sin(X0 - X1))) + tan(sin(sin(sin(X0 + X1))))
256,5.409878917615071e-31,3*sin(X0 - X1) + 3*sin(X0 + X1)
778,0.0362128840136681,sqrt(sin(X0 - X1)) + 2*sin(X0 - X1) + sqrt(sin(X0 + X1)) + sin(X0 + X1) + sin(sin(X0 + X1))
992,4.645832707680911e-06,3*sin(X0 - X1) + 3*sin(X0 + X1) - 0.00199999866666693
829,0.0967698757776715,(-(-0.996131229336083*I*(sin(X0) - sin(0.814790531604824*I*(-(-0.929762175115822*sqrt(I)*log(sqrt(cos(X1))) + sin(X0))*sin(log(log(sin(log(log(sin(X0))))))*sin(X0)) + sin(X0))) - sin((-log(sqrt(cos(sin(X0))))*sin(X0) + sin(X0))*log(cos(X1)))) + sin(X0))*log(0.716835813536511 + I*pi) + sin(X0))*cos(X1)
424,0.1119189662266606,(4.77628593417855*cos(X1) - tan(0.234953168913469*sin(cos(X1)) + 0.234953168913469*cos(X1)))*tan(sin(X0))
918,5.3117105783882495e-31,3*sin(X0 - X1) + 3*sin(X0 + X1)
546,3.1530344834501407,tan(cos(sin(sin(sin(sin(0.433091492820785*sqrt(I*tan(sin(X0)*cos(X1)))*cos(X1)))))*sin(tan(sin(X0)**(1/4)*cos(X1))))*tan(sin(X0)**(1/4)*cos(X1)))
114,0.0079412868763357,3*sin(X0 - X1) + 2*sin(X0 + X1) + sin(sin(X0 + X1))
115,1.4568169729346705,2*(cos(log(cos(cos(log(cos(sin(X1)))) + cos(cos(sin(X0)))))) + cos(sin(sin(X1))))*(cos(sin(X0 - X1)) + cos(cos(X0)))*sin(X0 - X1)*cos(sin(X1))*cos(sin(sin(X1)*sin(cos(cos(sin(sin(X1))) + cos(sqrt(cos(sin(X0))))) + cos(cos(cos(sin(X0)) + cos(cos(sqrt(cos(sin(X0))))))))))
548,0.0072993806843867,2*sin(X0 - X1) + 3*sin(X0 + X1) - sin(-X0 + X1 + 0.134*sin(X0 + X1)/sin(sin(sin(X0 + X1) + sin(sin(X0 + X1)))))
494,0.0118594826082727,3*sin(X0 - X1) + sqrt(sin(X0 + X1)) + 2*sin(X0 + X1)
938,0.0217470088849117,(2*sin(X0) + sin(X0)/cos(cos(cos(cos(sin(X0)/(X0*log(sin(X0))))))))*tan(cos(X1))/sin(cos(cos(tan(cos(X1)))))
780,5.5416807374349625e-31,3*sin(X0 - X1) + 3*sin(X0 + X1)
891,2.091068979026133,-log(sin(1.153851352953 + I*pi))*sin(sin(X0 - X1)*cos((0.0520469200827484 - tan(X1))*log(log(sin(sin(tan(sqrt((0.0520469200827484 - tan(X1))*cos((0.0520469200827484 - tan(X1))*log(log(sin(sin(cos(sin(X0 - X1)*cos(cos(X0)))))))))))))))*tan(sqrt(cos(cos(X0)))))*cos((0.0520469200827484 - tan(X1))*log(log(sin(sin(tan(sqrt(cos(X1))))))))*tan(sqrt(cos(cos(X0))))
614,0.5750356413029203,2*sin(X0 + X1) + sin(X1 + sin(-sin(sqrt(-sin(sin(sin(X0 + 0.433/X0))))) + sin(sin(X0 + 0.433/X0)) + sin(sin(X0 - sin(sin(X0 + X1))))) + sin(sin(X0 + 0.433/X0))) + sin(X1 - 0.658027355054484*sqrt(-1/X0) + sin(sin(sin(X0 + 0.433/X0)) + 0.433/X0) + sin(sin(X0 + 0.433/X0))) + sin(sin(X1 + sin(X0 + sin(sin(sin(sin(X0 + sin(X0 + 0.433/X0)))))) + 0.433/X0))
618,1.1135431812029932,sin(X0)*cos(X1) + sin(sqrt(sin(sin(X0)/cos(X1)))) + tan(sqrt(sin(X0 + X1))*cos(sin(X1)**(1/4))) + tan(sqrt(sin(sin(X0)*cos(X1) + sin(sin(sin(X0)/cos(X1))))))
843,0.0455131955633583,sin(X0 + X1) + sin(sin(X0 - X1) + sin(sin(X0 + X1)) + 1.20454490549026 - I*pi) + sin(sin(sin(X0 + X1) - sin(tan(sin(X0 + X1)) + 1.20454490549026 - I*pi) + tan(sin(X0 - X1)))) + tan(sin(X0 - X1)) + tan(sin(X0 + X1))
498,0.025512992822571943,2*sin(X0 - X1) + sin(sin(tan(sin(X0 - X1)))) + tan(sin(X0 + X1)) + tan(sin(2*sin(X0 + X1)))
