seed,mse,equacao
499,54770.82682825454,X2*X4*(-X1*(-X1/X2 + X2) + sqrt(X2*X4 - (-X2 + sqrt(log(X2)))**(1/4) - (X2 - X4)**(1/4)))
783,91419.4636550526,-X0 + X2 + 2*(-X0 + X2)**2 - sqrt(X2 - 0.856)*sqrt(-sin(X3) + X4/X2)*tan(X0 - X4)
663,60325.84175817433,(2*X1 + log(2*X1 - X4))*(-2*X4 + log(X1 - 3*X4))
972,5649395272.592095,-8.92857142857143*X1*X4 - 4.46428571428571*X1 - X3*tan(4.46428571428571*X1) + (-0.224*X1 + X4*tan(X2*log(log(X4))))*log(X4)
301,40444.401528737806,X1**2
981,690768.5669776178,X4*tan(sin(X2) + 0.636) + tan(X4*tan(sin(X2) + 0.636) + sin(X2) + 0.636)
950,132853.32114411608,tan(log(X4))
397,40462.31185584303,X2**2
385,58461.08876252597,X4*(0.402 - X1)*(-X1 + X2**2) + X4*(-3*X1 + X2**2) - X4
945,41244.1513998099,X2**2*X4
695,42727.7157393262,tan(1.08695652173913*log(X4))
156,40926.514071667865,-8.06451612903226*X1
552,40462.31185584303,X2**2
811,70420.30417790175,X2*tan(sqrt(X0))
229,65634.16120398442,X1*(-X1**2*X4 + X1*X4 - X1*(X1 - X4))
636,42747.78436660692,X1*(-X1**2 + X1)
786,58113.7784293066,X4*(2*X1**2 - 14*X1)
411,80160.20172114983,2*X1**2 + X1**2/(X0*(X1 + X3))
68,40509.67108343163,-5.68181818181818*log(X1)
287,63009.92827342729,-1.54559505409583*X1*X2**2*X4 + X2**2*X4 + X2**2 + X4
625,48230.24829541769,sqrt(X2)*X4*(sqrt(X2)*X4*log(sqrt(X4**2)))**(1/4)
860,40444.401528737806,X1**2
357,132853.32114411608,tan(log(X4))
986,44468.14498185955,X1*(-X1**2 + 4.0*X1)
820,53068.78724154709,X4*(-2*X1 + X2**2*(-X1 + tan(cos(X1*X2 - 2*X1))))
501,69462.38912563658,X1**2*X4*(X0 - X1) + X1**2*X4
555,43262.16767795914,5*X1**2
718,63158.922310088914,X1**2*X4 - X1*(X1**2*X4 - X1*X4*cos(X3) - X1*X4)
811,70420.30417790175,X2*tan(sqrt(X0))
860,40444.401528737806,X1**2
