seed,mse,equacao
871,40537.02249787204,-3.82030659664585*X4 + log(log(X2))
572,40426.70229543864,X0*X3
934,40426.70229543864,X0*X3
386,40370.20690986548,X3
4,40913.14748373479,X0*X1*X4
447,40370.20690986548,X3
158,44909.515796393855,X4*log(log(X0*X3*X4))
894,40419.380110782535,X3*X4
909,40426.70229543864,X0*X3
492,33027886.197495047,X4*tan(X0*X2)
44,40426.70229543864,X0*X3
295,40419.380110782535,X3*X4
991,40426.70229543864,X0*X3
31,40426.70229543864,X0*X3
961,40426.70229543864,X0*X3
174,42061.68107055862,5*X0*X3
677,42616.0948986454,X3*(5*X0 + 3*X4)
954,40426.70229543864,X0*X3
811,95624.25614032656,log(tan(log(-X3 + cos(X4) + 0.679))) + tan(log(-X3 + tan(cos(X4)) + 0.679))
607,40426.70229543864,X0*X3
321,40426.70229543864,X0*X3
504,42061.68107055862,5*X0*X3
198,40426.70229543864,X0*X3
787,40426.70229543864,X0*X3
36,33027886.197495047,X4*tan(X0*X2)
160,43382.458218987485,X2*X3*sqrt(sqrt(X0)*X2)
542,42959.38940965619,X4*log(log(log(log(X4*log(X0*X1)))))
450,40426.70229543864,X0*X3
899,40426.70229543864,X0*X3
818,43090.12916739707,X3*(-X0*X3 + 3*X0 + 4*X4)
