seed,mse,equacao
515,32.33574357020335,(-X0 + X3)*(X3 + 0.464) - (-sqrt(-X0 + X3) + cos(sqrt(log(X3 + tan(tan(sqrt(X3 - 0.966132414430519))) + 0.464))))*sqrt(log(X3 + 0.464)) + 1.1345256574061*(0.603590939870506*X3 - 0.603590939870506*tan(X0) - 1)**(1/4)
90,217.96073828655773,-1.60026291237181*X0*X3 + X0 + X0/X2 + X4 - (X4 - sqrt(log(0.0759268584598059 - X0)*cos(cos(sin(X4))))*cos(tan(X2)) + 1.19818590888703*I)*sqrt(cos(1.49847416780123*sqrt(-I*cos(X4/X3)))) + log(X1) - 1.60026291237181*cos(X4) + sqrt(cos(sqrt(X0/(-1.60026291237181*X0*X3 + X0 - 1.60026291237181*cos(X4) + cos(0.271205435459822/sqrt(tan(tan(cos(sin(X4))/(sin(X2) - 0.966))))))))) - 1.91741247211843*I*sqrt(cos(1.49847416780123*sqrt(-I*cos(X4/X3)))) + cos(0.434*cos(tan(log(sqrt(X0*X3))/(tan(log(X1)) + 1.64353593171628*I)))) + 1.0 + 2.39637181777406*I
302,60.76783837334136,X3*(-X0 + 1.20918984280532*X3 + sin(tan((X0**2 + log(X1))**(1/8))/cos(X1))) + sqrt(X3*(-X0 + X3 - cos(X4))) + sqrt(X3*(-X0 + X3 - tan(cos(X0 - X3)))) - ((cos(-X2 + sin(cos(X0 - X3 + cos(X4))) + cos(sqrt(X3) - cos(cos(cos(-X2 + sqrt(X4) + cos(X0)))))) - 1.47179175557414)/log(log(cos(X4)) - sin(X0 - X4)))**(1/4) - (((log(-X0 + X3 - cos(tan(tan(sqrt(cos(X0 - X3))))))*tan(sqrt(X3*(-X0 + X3 - cos(X3*(-X0 + X3 - cos(X4)))) - log(-X0 + log(log(log(X3))))) + tan(sqrt(cos(cos(sqrt(X4))))))**(1/16))**(1/8) + tan(sqrt(cos(cos(sqrt(X3))))))**(1/8) + tan(sqrt(cos(cos(sqrt(X4))))))**(1/4) - (sin(cos((X3*(-X0 + X3 - cos(X4)))**(1/4)))**(1/4) + tan(sqrt(cos(X3*cos(X4) - cos(X1)))))**(1/8) - tan(sqrt(cos(cos(sqrt(X3)))))
844,22.39052936304322,(-X0 + X3)*(X3 - log(log(X3 - log(log(sqrt(X3))*log(0.836928195717062*log(X3))))*log(0.604*cos(log(0.951314879522022*I))))) - log(X0**2) - 0.785929755088457
423,36.79772204763178,-X0*(X3 + log(X3)) + X3*(X3 + cos(X3 + sqrt(log(X3*(X4 + cos(X1))) + cos(tan(X4)))) + cos(X3 + sqrt(log(X3*(X3 + X4 + log(X3 + sqrt(log(X4) + cos(tan(X4)))) + cos(sqrt(X4)) + tan(cos(tan(cos(X0*(X3 + log(X3)) - X3*(cos(X3 + sqrt(log(X3*(X3 + X4 + cos(sqrt(X4)) + cos(log(X0)))) + tan(X4))) + cos(X3 + sqrt(log(X3)))))))))) + cos(tan(X0*(X3 - 0.0198904350059223) - log(X3*(X3 + X4 + sqrt(log(X3*(X3 + X4 + cos(log(X0)) + tan(X4))) + tan(X4) + tan(cos(X0*(X3 + log(X3)) - X3*(X3 + sin(cos(X3 + sqrt(log(X3*(X3 + X4 + cos(sqrt(X4)) + tan(X4))) + cos(tan(log(X3*(X3 + X4 + cos(sqrt(X4)) + cos(log(X0)))) + cos(tan(X4))))))) + cos(X3 + sqrt(log(X3) + log(X3*(X3 + X4 + cos(log(X0)) + cos(cos(X1)))))) + 0.167)))) + cos(X3 + cos(sqrt(X4)) + tan(X4)) + 0.167)))))) + 0.167)
340,391.9317176517617,X3**2 + X3*X4 + sqrt(log(log(X3**2 + X3 - 1.66600826392249 + (X3**2 + cos(tan(X3**2 + log(X3*X4) + sin(X0))) - 0.51043050406998 - I*pi)/X0)) + cos(sin(X3**2 - X3 + X3*(0.51043050406998 + I*pi))) + tan(X0/X1) + tan(X0**2/sin(X0/X1))/X0) - log(X3) + log(X3**2 - 1.66600826392249 + (X3**2 + X3*X4 + log(X3**2 + cos(log(X2 - X1/X0)) + (X0 + 2*X3**2 + X3*log(X3**2) - log(X3**2) + cos(X3**2 + cos(X3**2 + log(X3*X4) + sin(X0)) + (X0 + 3*X3**2 + X3*log(X3**2) - cos(sqrt(X3)) + tan(sin(X3**2)))/X0))/X0) + cos(sin(X3**2 - sin(sqrt(X3) + 2*X3**2 + 0.447*X3*log(X3)*sin(X3**2 + tan(sqrt(-X1 + X2)) + tan(tan(0.364*X2))) + cos(X0 - X1)))) + cos(tan(X3**2)) + 1.66600826392249)/X0) + cos(X3**2 + X3*X4 - sqrt(tan(X0/X1)/X0**2) - cos(sqrt(X3)) + tan(sin(X3**2))) + 2.17643876799248 + I*pi
974,127.5013451990338,
228,43.24754475259057,-0.74578265669221*X0 - 0.621236953024611*X3 + (X3 - log(X0))*(X3 - sin(log(X0))) + 0.74578265669221*(X3 - log(X0) - log(log(X0)))*sqrt(log(X3)) - 0.74578265669221*sin((X3 - log(X0))*(X3 - sin(sqrt(X3 - log(X0))))*(-X0 + sqrt(X2)*(X3 - log(X0) - log(log(X0))) + cos(X3*(X3 - log(X0)) - log(log(X0)))) + (X3 - sin(log(X0)))*(-0.833*X3 + (X3 - log(X0) - log(log(X0)))*sqrt(log(X3)) - sin((X3 - log(X0))*(X3 - sin(sqrt(X1 + X2))) + sqrt(log(X0))*log(log(X0)) + cos((X3 - log(log(X0)))*(X3 - log(log(X0)) - 1.43751738457709) - sin(X3 - log(X0)) + 0.979351658587507)) - cos(X0) - 1.43751738457709) + cos(X3 - sin(log(X3)))) - 0.74578265669221*cos(-(-0.833*X3 + sin(log(sin(X3*(X3 - log(X0))))) - tan(sin(tan(X0))))*log(X3 - 0.821/log(X0)) + log(X3) + cos((X3 - log(X0) - log(log(X0)))*sqrt(log(X3)) - sin(X3 - log(X0)) + 0.979351658587507)) + 0.74578265669221*cos((X3 - log(X0) - log(log(X0)))*sqrt(log(X3)) - sin(log(X0)) + cos(1.80635142999525 - I*pi)) - 2.05307553411114
470,100.57517090489992,-1.31309785682017*sqrt(X3) - sqrt((X3 + cos(1.67785234899329*X0*X3**2*(cos(log(cos(cos(X4)))) + sin(log(0.772010362624751*I))) + zoo))*tan(sqrt(X3) - 0.246329159905271)) - 2*log(X0*X3) + log(sqrt((1.31309785682017*sqrt(X3) - log(X0))*(X3 + cos(tan(X4*(cos(X0) + sqrt(tan(log(X3)))) - sin(sqrt(X0)) + log(log(0.772010362624751*I))))))) + 2*cos(log(cos(cos(X4))))
506,227.765965191461,(-sqrt(X0*(X3 + log(X3))) + X3*X4/X1**2)/cos(cos(X3 + sqrt(-X0*X3 + tan(cos(cos(cos(log(X3)))/(0.333 - (-X3 - tan(tan(sqrt(X0) - 0.743975284934733/sqrt(-X0*X3 + tan(cos(cos(cos(X0*X3 - tan(tan(-X0*X3 + tan(cos(X3 + sin(X1) - 0.333 + X3*X4/X1)) + 0.553499224593717/cos(X1)))))/(0.333 - (X0*X1 - sqrt(X0*(X3 + cos(X1))))/X1)))))))/X1))))*log((X3 + cos(X3)*cos(cos(cos(X3)*cos(cos(sqrt(X1*X3/sqrt(X0*X3))/(X0*X3)))/X1))/X1)*sin(X0))/X1))
40,35.29769719397654,-X0*X3 + 0.109778300837175*X1 - sqrt(log(X0*X3) + sin(X1/(X0*(X0 - X2*X3 + 1.15340253748558*X3 + cos(sin(X0))) - log(-(X0 - X1)*sin(X4)/tan(0.109778300837175*X1*sin(X0)/(log(log(X2*X3) - tan(0.109778300837175*X1*sin(X0)/(log(-0.109778300837175*X1 + log(X2*X3)) + sin(X4)) - 0.692)/(X0 - X1)) + sin(X4)) - 0.692))))) - log(-1.15340253748558*X3**2) + log(X4)
