seed,mse,equacao
31,89.87302442797689,3*X0 + 6*X1*cos(X1) + 9*X1
696,78.852533828414,2*X0 + 7*X1 - 12*sin(X1)
686,91.60705942886096,X1*(sqrt(X1**2*(sqrt(X1**2) + cos(X1))) + sin(X1**(9/4)))
872,144.0434523066511,3*X0 + 7*X1 - 2*tan(X1)
317,73.01503973867499,3*X0 + 7*X1 + X1/cos(X1) + 2*cos(X1)
312,165.419867,3*X0 + 8*X1
721,54.5226972495726,X1*(sqrt(X1*(3*X0 + sqrt(X1) + 4*X1 + 0.033)) + sin(2*X1*(X0 + 2*X1)))
29,38.43283357884141,2*X0 - X1**2*sin(X1) - X1**2*sin(sin(X1)) + 3*X1 + sin(sin(X1))
819,34.15212076916668,3*X0 + 4.18410041841004*X1*log(sqrt(X1**2)) + X1 + X1/cos(X1) + sin((X1**2*log(sqrt(X1**2)) + 4.18410041841004*X1 + cos(X1))/sin(X1 + cos(X1)))
962,165.419867,3*X0 + 8*X1
633,165.419867,3*X0 + 8*X1
101,165.419867,3*X0 + 8*X1
472,70.41265171559702,2.785*X0 + 5*X1 + 2*log(X1) + log(X1)/tan(cos(X1)) - sin((X0 + 2*X1)/(X1 + 0.704)) - tan(log(X1))
386,36.597155423759006,2*X0 + X1**2 + 2*X1 + (X1**2 + 2*X1)*log(log(X1)) - sin(X1) - sin(X0 + X1**2 + 5*X1)
119,169.44240205106948,3*X0 + 8.5929203539823*X1
688,58.94871564807197,2*X0 + 2*X1 + 2*log(X1) - 2*tan(X1 + tan(X1))
104,64.27237294066697,2*X0 + 5*X1 + cos(X1 + tan(X0 + 4*X1 + tan(X1 + 0.498))) + tan(sqrt(X1) + 3*X1) + tan(tan(sqrt(X1) + 0.498))
968,71.7076057366831,3*X0 + 7*X1 + X1/cos(X1) + cos(X1)
769,28.903062539408683,2.57400257400257*X0 + 5.14800514800515*X1 - 6.86100386100386*sin(X1) + tan(2*X1 - sin(X1))
43,46.90866191570035,3*X0 + 5*X1 + (3*X1 + (2*X1 + (-X0 + 3*X1)*sin(sqrt(cos(X1)))**(1/16))*cos(X1)**(1/8))*cos(4.86390532544379*X1)**(1/4)
252,173.92438727352507,3*X0 + 7*X1 + (sin(X0) + tan(X1))*log(X0)
153,165.419867,3*X0 + 8*X1
973,64.93382417141174,2*X0 + 7*X1 + X1/cos(X1) - sin(sin(X1)) + 0.258843582110896
666,165.419867,3*X0 + 8*X1
484,110.2987744164094,3*X0 + 5*X1 + 3*log(X1) - tan(log(X1))
587,43.19979154018804,2*X0 + 5.9940119760479*X1 + X1/(X0 + 3.9940119760479*X1 + cos(X1)) + (X1 - tan(X1))/cos(X1) + cos(X1) - tan(X0) + tan(X0)/(X0 + X1)
75,165.419867,3*X0 + 8*X1
522,71.7076057366831,3*X0 + 7*X1 + X1/cos(X1) + cos(X1)
990,47.64696368394113,2*X0 + 4*X1 + tan(X1) - 2*tan(X1 + tan(X1))
43,46.90866191570035,3*X0 + 5*X1 + (3*X1 + (2*X1 + (-X0 + 3*X1)*sin(sqrt(cos(X1)))**(1/16))*cos(X1)**(1/8))*cos(4.86390532544379*X1)**(1/4)
