seed,mse,equacao
136,48817.31191795797,log(log(6.64257625677543*X0*X1*sqrt(X3)))
516,166232.64160412087,log(sqrt((-sin(log(sin(X0)))*tan(log(tan(X3))) + tan(tan(X2)/log(X3)) - tan(sqrt(X4) - tan(X0)))*cos(cos(tan((X2 - X4)**(1/4))))/(log(tan(cos(tan(X0)))) + cos(sin(sqrt(X2))*tan(X4 - 0.816)))))
313,40837.24575607616,X0*X1*X3
48,45545.60771668107,log(log(log(X1*X3**2*log(X3))))
280,49903.30939939049,log(log(log(log(X1**3*X3))))
803,2994990304.0879054,X4*tan(log(X0) - cos(X3)) + sqrt(log(log(X1*X3**3))) + tan(log(log(X0) + log(X1*X3**3) + sqrt(log(-X3 + sqrt(X4*tan(log(X0) - cos(X3))))) - cos(X3)))
66,42630.8135785559,log(log(-8.06451612903226*X3*(sqrt(X2) - sin(X3))))
94,41856.79198648804,X0*X3*(X0 + X1)
789,7.545128498749258e-28,X0*X1*X2*X3*X4
726,42572.28779145092,log(log(log(X2*X3*log(log(log(log(log(log(X1*X3)))))))))
708,45545.60771668107,log(log(log(X1*X3**2*log(X3))))
377,8.805501970537467e-28,X0*X1*X2*X3*X4
193,40388.96747947221,X2
749,45545.60771668107,log(log(log(X1*X3**2*log(X3))))
966,45854.808275202224,log(1.66666666666667*sqrt(0.36*X0*X1*log(X0) - X3*log(X1*log(X0*X2))))
544,40837.9122918102,-26.3157894736842*sin(sqrt(X0))
161,40421.14544048538,log(X0*X2)
551,49288.63965408757,X1**2 + log(log(log(X1**2*X3 + log(X1**3*X3))))
259,41694.39382839552,-38.4615384615385*sin(X2) - 38.4615384615385*cos(38.4615384615385*sin(X2) - 1.0)
616,41139.88913372628,log(log(log(log(13.3198358996217*X3))))
927,61328.91478406437,X2 + X2*(2*X2 + X3 + X4)/(X1 + X4) + (X2 + X3)/(X1 + X4)
358,49903.30939939049,log(log(log(log(X1**3*X3))))
651,49903.30939939049,log(log(log(log(X1**3*X3))))
26,45649.26320122725,log(log(log(X0*log(X0**2*X2))))
173,86116.89994291667,log(tan(sin(cos(cos(cos(X2))))*tan(tan(cos(0.016/X4)))) + tan(tan(cos(log(X4))))) + 0.016/X4
556,45897.06955243248,log(X1**3*log(X3))
895,1096585.300100702,X2 + tan(X3*(X2 + tan(X3*cos(X2 + 0.03)))) + 3*tan(X3*cos(X2 + 0.03)) + 0.03
347,45545.60771668107,log(log(log(X1*X3**2*log(X3))))
101,40401.31858503664,log(log(X1*X3))
878,49903.30939939049,log(log(log(log(X1**3*X3))))
