equacao,mse
X3**2,307.5735846435556
1.36350056945299,574.8656893368218
X3**2,307.5735846435556
9.75390436986225,484.4138507364724
X3**2,307.5735846435556
0.851000000000000,584.9533897270223
X3**2,307.5735846435556
-11.4304883853572,983.8227872438566
X3**2 + 0.501,306.8968957003556
X3**2,307.5735846435556
0.961000000000000,582.7439521083556
X3**2,307.5735846435556
12.4987303334088,485.38781975817477
X3**2,307.5735846435556
X3**2,307.5735846435556
12.8416617226053,486.5683938232093
19.8102438403699,561.5092856996624
0.925000000000000,583.4643767835556
11.1478551691499,483.0254241721184
X3**2,307.5735846435556
17.6593705192830,528.0162781762064
0.884000000000000,584.2880174414223
5.36823858782065,514.1296027741704
0.910000000000000,583.7653187315557
2.60877073588159,552.5435675528319
X3**2,307.5735846435556
X3**2,307.5735846435556
0.893000000000000,584.1069302726222
X3**2,307.5735846435556
7.62597236943027,494.0276768415969
7.97940740165561,491.8037163204568
X3**2,307.5735846435556
-858.056762423543,755653.824151951
0.909000000000000,583.7853975280889
0.762000000000000,586.758736618489
X0**2,558.5341435768889
18.5892974731980,541.3615403582372
0.896000000000000,584.0466038830224
X3**2,307.5735846435556
X3**2,307.5735846435556
0.996227413120451,582.041497442101
0.989000000000000,582.1854138054223
nan,602.864213576889
14.2367202654424,493.7956138187063
X3**2,307.5735846435556
11.2399176151950,483.0705325842905
1.00000000000000,581.9664170435556
X3**2,307.5735846435556
0.997000000000000,582.0261194331557
