seed,mse,equacao
468,170.0489903568722,3*X0 + 8.60456273764258*X1
237,85.39946217036825,2*X0 + 6*X1 + 1.73310225303293*X1/cos(X1) + cos(X1)
318,95.32167045740056,0.393590546629797*X1**3 + X1
693,165.5167725635693,3*X0 + 7.78787878787879*X1
352,165.419867,3*X0 + 8*X1
51,71.7076057366831,3*X0 + 7*X1 + X1/cos(X1) + cos(X1)
137,71.7076057366831,3*X0 + 7*X1 + X1/cos(X1) + cos(X1)
626,163.9547432737814,2.70515927977839*X0 + 8.11547783933518*X1
480,87.28185696527576,3*X0 + 2*X1 + tan(0.309862020682447*X1) + 0.283076211006345
